2026-07-09 15:31:09,503 [INFO] Log file: apollo_extraction_20260709_153109.log
2026-07-09 15:31:09,503 [INFO] Starting Apollo extraction: titles=['Influencer Marketing Manager'], industries=['Supplements']
2026-07-09 15:31:10,411 [INFO] Starting from page 1, 0 contacts already extracted
2026-07-09 15:31:10,412 [INFO] Searching page 1: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:10,958 [INFO] Page 1: 25 contacts, 3823 total available
2026-07-09 15:31:10,959 [INFO] Checkpointed: 1 contacts, page 1
2026-07-09 15:31:11,964 [INFO] Searching page 2: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:12,503 [INFO] Page 2: 25 contacts, 3823 total available
2026-07-09 15:31:12,504 [INFO] Checkpointed: 1 contacts, page 2
2026-07-09 15:31:13,509 [INFO] Searching page 3: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:14,101 [INFO] Page 3: 25 contacts, 3823 total available
2026-07-09 15:31:14,101 [INFO] Checkpointed: 1 contacts, page 3
2026-07-09 15:31:15,106 [INFO] Searching page 4: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:15,529 [INFO] Page 4: 25 contacts, 3823 total available
2026-07-09 15:31:15,530 [INFO] Checkpointed: 1 contacts, page 4
2026-07-09 15:31:16,535 [INFO] Searching page 5: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:16,964 [INFO] Page 5: 25 contacts, 3823 total available
2026-07-09 15:31:16,965 [INFO] Checkpointed: 1 contacts, page 5
2026-07-09 15:31:17,967 [INFO] Searching page 6: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:18,472 [INFO] Page 6: 25 contacts, 3823 total available
2026-07-09 15:31:18,473 [INFO] Checkpointed: 1 contacts, page 6
2026-07-09 15:31:19,478 [INFO] Searching page 7: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:20,027 [INFO] Page 7: 25 contacts, 3823 total available
2026-07-09 15:31:20,027 [INFO] Checkpointed: 1 contacts, page 7
2026-07-09 15:31:21,032 [INFO] Searching page 8: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:21,557 [INFO] Page 8: 25 contacts, 3823 total available
2026-07-09 15:31:21,557 [INFO] Checkpointed: 1 contacts, page 8
2026-07-09 15:31:22,562 [INFO] Searching page 9: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:23,303 [INFO] Page 9: 25 contacts, 3823 total available
2026-07-09 15:31:23,304 [INFO] Checkpointed: 1 contacts, page 9
2026-07-09 15:31:24,308 [INFO] Searching page 10: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:25,851 [INFO] Page 10: 25 contacts, 3823 total available
2026-07-09 15:31:25,852 [INFO] Checkpointed: 1 contacts, page 10
2026-07-09 15:31:26,857 [INFO] Searching page 11: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:27,306 [INFO] Page 11: 25 contacts, 3823 total available
2026-07-09 15:31:27,307 [INFO] Checkpointed: 1 contacts, page 11
2026-07-09 15:31:28,310 [INFO] Searching page 12: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:28,828 [INFO] Page 12: 25 contacts, 3823 total available
2026-07-09 15:31:28,829 [INFO] Checkpointed: 1 contacts, page 12
2026-07-09 15:31:29,834 [INFO] Searching page 13: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:30,353 [INFO] Page 13: 25 contacts, 3823 total available
2026-07-09 15:31:30,354 [INFO] Checkpointed: 1 contacts, page 13
2026-07-09 15:31:31,355 [INFO] Searching page 14: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:31,932 [INFO] Page 14: 25 contacts, 3823 total available
2026-07-09 15:31:31,934 [INFO] Checkpointed: 1 contacts, page 14
2026-07-09 15:31:32,939 [INFO] Searching page 15: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:33,390 [INFO] Page 15: 25 contacts, 3823 total available
2026-07-09 15:31:33,391 [INFO] Checkpointed: 1 contacts, page 15
2026-07-09 15:31:34,393 [INFO] Searching page 16: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:35,077 [INFO] Page 16: 25 contacts, 3823 total available
2026-07-09 15:31:35,079 [INFO] Checkpointed: 1 contacts, page 16
2026-07-09 15:31:36,083 [INFO] Searching page 17: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:36,649 [INFO] Page 17: 25 contacts, 3823 total available
2026-07-09 15:31:36,650 [INFO] Checkpointed: 1 contacts, page 17
2026-07-09 15:31:37,654 [INFO] Searching page 18: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:38,196 [INFO] Page 18: 25 contacts, 3823 total available
2026-07-09 15:31:38,197 [INFO] Checkpointed: 1 contacts, page 18
2026-07-09 15:31:39,202 [INFO] Searching page 19: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:39,645 [INFO] Page 19: 25 contacts, 3823 total available
2026-07-09 15:31:39,646 [INFO] Checkpointed: 1 contacts, page 19
2026-07-09 15:31:40,649 [INFO] Searching page 20: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:41,116 [INFO] Page 20: 25 contacts, 3823 total available
2026-07-09 15:31:41,118 [INFO] Checkpointed: 1 contacts, page 20
2026-07-09 15:31:42,123 [INFO] Searching page 21: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:42,626 [INFO] Page 21: 25 contacts, 3823 total available
2026-07-09 15:31:42,627 [INFO] Checkpointed: 1 contacts, page 21
2026-07-09 15:31:43,631 [INFO] Searching page 22: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:44,117 [INFO] Page 22: 25 contacts, 3823 total available
2026-07-09 15:31:44,118 [INFO] Checkpointed: 1 contacts, page 22
2026-07-09 15:31:45,123 [INFO] Searching page 23: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:45,560 [INFO] Page 23: 25 contacts, 3823 total available
2026-07-09 15:31:45,561 [INFO] Checkpointed: 1 contacts, page 23
2026-07-09 15:31:46,566 [INFO] Searching page 24: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:47,135 [INFO] Page 24: 25 contacts, 3823 total available
2026-07-09 15:31:47,136 [INFO] Checkpointed: 1 contacts, page 24
2026-07-09 15:31:48,141 [INFO] Searching page 25: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:48,706 [INFO] Page 25: 25 contacts, 3823 total available
2026-07-09 15:31:48,708 [INFO] Checkpointed: 1 contacts, page 25
2026-07-09 15:31:49,713 [INFO] Searching page 26: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:50,279 [INFO] Page 26: 25 contacts, 3823 total available
2026-07-09 15:31:50,280 [INFO] Checkpointed: 1 contacts, page 26
2026-07-09 15:31:51,286 [INFO] Searching page 27: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:51,867 [INFO] Page 27: 25 contacts, 3823 total available
2026-07-09 15:31:51,868 [INFO] Checkpointed: 1 contacts, page 27
2026-07-09 15:31:52,873 [INFO] Searching page 28: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:53,400 [INFO] Page 28: 25 contacts, 3823 total available
2026-07-09 15:31:53,401 [INFO] Checkpointed: 1 contacts, page 28
2026-07-09 15:31:54,406 [INFO] Searching page 29: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:55,043 [INFO] Page 29: 25 contacts, 3823 total available
2026-07-09 15:31:55,045 [INFO] Checkpointed: 1 contacts, page 29
2026-07-09 15:31:56,050 [INFO] Searching page 30: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:56,571 [INFO] Page 30: 25 contacts, 3823 total available
2026-07-09 15:31:56,573 [INFO] Checkpointed: 1 contacts, page 30
2026-07-09 15:31:57,574 [INFO] Searching page 31: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:58,120 [INFO] Page 31: 25 contacts, 3823 total available
2026-07-09 15:31:58,122 [INFO] Checkpointed: 1 contacts, page 31
2026-07-09 15:31:59,127 [INFO] Searching page 32: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:31:59,913 [INFO] Page 32: 25 contacts, 3823 total available
2026-07-09 15:31:59,914 [INFO] Checkpointed: 1 contacts, page 32
2026-07-09 15:32:00,920 [INFO] Searching page 33: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:01,375 [INFO] Page 33: 25 contacts, 3823 total available
2026-07-09 15:32:01,377 [INFO] Checkpointed: 1 contacts, page 33
2026-07-09 15:32:02,377 [INFO] Searching page 34: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:02,876 [INFO] Page 34: 25 contacts, 3823 total available
2026-07-09 15:32:02,878 [INFO] Checkpointed: 1 contacts, page 34
2026-07-09 15:32:03,883 [INFO] Searching page 35: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:04,449 [INFO] Page 35: 25 contacts, 3823 total available
2026-07-09 15:32:04,456 [INFO] Checkpointed: 1 contacts, page 35
2026-07-09 15:32:05,461 [INFO] Searching page 36: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:05,889 [INFO] Page 36: 25 contacts, 3823 total available
2026-07-09 15:32:05,889 [INFO] Checkpointed: 1 contacts, page 36
2026-07-09 15:32:06,895 [INFO] Searching page 37: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:07,415 [INFO] Page 37: 25 contacts, 3823 total available
2026-07-09 15:32:07,416 [INFO] Checkpointed: 1 contacts, page 37
2026-07-09 15:32:08,421 [INFO] Searching page 38: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:08,907 [INFO] Page 38: 25 contacts, 3823 total available
2026-07-09 15:32:08,908 [INFO] Checkpointed: 1 contacts, page 38
2026-07-09 15:32:09,912 [INFO] Searching page 39: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:10,365 [INFO] Page 39: 25 contacts, 3823 total available
2026-07-09 15:32:10,365 [INFO] Checkpointed: 1 contacts, page 39
2026-07-09 15:32:11,371 [INFO] Searching page 40: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:11,849 [INFO] Page 40: 25 contacts, 3823 total available
2026-07-09 15:32:11,850 [INFO] Checkpointed: 1 contacts, page 40
2026-07-09 15:32:12,853 [INFO] Searching page 41: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:13,347 [INFO] Page 41: 25 contacts, 3823 total available
2026-07-09 15:32:13,348 [INFO] Checkpointed: 1 contacts, page 41
2026-07-09 15:32:14,349 [INFO] Searching page 42: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:14,804 [INFO] Page 42: 25 contacts, 3823 total available
2026-07-09 15:32:14,805 [INFO] Checkpointed: 1 contacts, page 42
2026-07-09 15:32:15,807 [INFO] Searching page 43: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:16,495 [INFO] Page 43: 25 contacts, 3823 total available
2026-07-09 15:32:16,496 [INFO] Checkpointed: 1 contacts, page 43
2026-07-09 15:32:17,501 [INFO] Searching page 44: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:18,065 [INFO] Page 44: 25 contacts, 3823 total available
2026-07-09 15:32:18,066 [INFO] Checkpointed: 1 contacts, page 44
2026-07-09 15:32:19,070 [INFO] Searching page 45: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:19,613 [INFO] Page 45: 25 contacts, 3823 total available
2026-07-09 15:32:19,614 [INFO] Checkpointed: 1 contacts, page 45
2026-07-09 15:32:20,619 [INFO] Searching page 46: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:21,237 [INFO] Page 46: 25 contacts, 3823 total available
2026-07-09 15:32:21,238 [INFO] Checkpointed: 1 contacts, page 46
2026-07-09 15:32:22,243 [INFO] Searching page 47: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:22,782 [INFO] Page 47: 25 contacts, 3823 total available
2026-07-09 15:32:22,783 [INFO] Checkpointed: 1 contacts, page 47
2026-07-09 15:32:23,784 [INFO] Searching page 48: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:24,223 [INFO] Page 48: 25 contacts, 3823 total available
2026-07-09 15:32:24,224 [INFO] Checkpointed: 1 contacts, page 48
2026-07-09 15:32:25,228 [INFO] Searching page 49: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:25,818 [INFO] Page 49: 25 contacts, 3823 total available
2026-07-09 15:32:25,819 [INFO] Checkpointed: 1 contacts, page 49
2026-07-09 15:32:26,823 [INFO] Searching page 50: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:27,341 [INFO] Page 50: 25 contacts, 3823 total available
2026-07-09 15:32:27,342 [INFO] Checkpointed: 1 contacts, page 50
2026-07-09 15:32:28,347 [INFO] Searching page 51: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:28,902 [INFO] Page 51: 25 contacts, 3823 total available
2026-07-09 15:32:28,903 [INFO] Checkpointed: 1 contacts, page 51
2026-07-09 15:32:29,908 [INFO] Searching page 52: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:30,455 [INFO] Page 52: 25 contacts, 3823 total available
2026-07-09 15:32:30,456 [INFO] Checkpointed: 1 contacts, page 52
2026-07-09 15:32:31,461 [INFO] Searching page 53: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:32:31,889 [INFO] Page 53: 25 contacts, 3823 total available
2026-07-09 15:32:31,890 [INFO] Checkpointed: 1 contacts, page 53
2026-07-09 15:32:32,891 [INFO] Searching page 54: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
