2026-07-09 15:29:28,485 [INFO] Log file: apollo_extraction_20260709_152928.log
2026-07-09 15:29:28,486 [INFO] Starting Apollo extraction: titles=['Influencer Marketing Manager'], industries=['Supplements']
2026-07-09 15:29:29,108 [INFO] Starting from page 1, 0 contacts already extracted
2026-07-09 15:29:29,109 [INFO] Searching page 1: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:29,878 [INFO] Page 1: 25 contacts, 3823 total available
2026-07-09 15:29:29,880 [INFO] Checkpointed: 1 contacts, page 1
2026-07-09 15:29:30,883 [INFO] Searching page 2: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:31,544 [INFO] Page 2: 25 contacts, 3823 total available
2026-07-09 15:29:31,544 [INFO] Checkpointed: 1 contacts, page 2
2026-07-09 15:29:32,546 [INFO] Searching page 3: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:33,175 [INFO] Page 3: 25 contacts, 3823 total available
2026-07-09 15:29:33,176 [INFO] Checkpointed: 1 contacts, page 3
2026-07-09 15:29:34,178 [INFO] Searching page 4: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:35,012 [INFO] Page 4: 25 contacts, 3823 total available
2026-07-09 15:29:35,042 [INFO] Checkpointed: 1 contacts, page 4
2026-07-09 15:29:36,048 [INFO] Searching page 5: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:36,583 [INFO] Page 5: 25 contacts, 3823 total available
2026-07-09 15:29:36,586 [INFO] Checkpointed: 1 contacts, page 5
2026-07-09 15:29:37,586 [INFO] Searching page 6: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:38,158 [INFO] Page 6: 25 contacts, 3823 total available
2026-07-09 15:29:38,158 [INFO] Checkpointed: 1 contacts, page 6
2026-07-09 15:29:39,164 [INFO] Searching page 7: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:40,551 [INFO] Page 7: 25 contacts, 3823 total available
2026-07-09 15:29:40,553 [INFO] Checkpointed: 1 contacts, page 7
2026-07-09 15:29:41,558 [INFO] Searching page 8: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:42,352 [INFO] Page 8: 25 contacts, 3823 total available
2026-07-09 15:29:42,354 [INFO] Checkpointed: 1 contacts, page 8
2026-07-09 15:29:43,354 [INFO] Searching page 9: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:43,925 [INFO] Page 9: 25 contacts, 3823 total available
2026-07-09 15:29:43,926 [INFO] Checkpointed: 1 contacts, page 9
2026-07-09 15:29:44,928 [INFO] Searching page 10: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:45,500 [INFO] Page 10: 25 contacts, 3823 total available
2026-07-09 15:29:45,501 [INFO] Checkpointed: 1 contacts, page 10
2026-07-09 15:29:46,504 [INFO] Searching page 11: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:47,046 [INFO] Page 11: 25 contacts, 3823 total available
2026-07-09 15:29:47,048 [INFO] Checkpointed: 1 contacts, page 11
2026-07-09 15:29:48,053 [INFO] Searching page 12: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:48,655 [INFO] Page 12: 25 contacts, 3823 total available
2026-07-09 15:29:48,656 [INFO] Checkpointed: 1 contacts, page 12
2026-07-09 15:29:49,662 [INFO] Searching page 13: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:50,076 [INFO] Page 13: 25 contacts, 3823 total available
2026-07-09 15:29:50,077 [INFO] Checkpointed: 1 contacts, page 13
2026-07-09 15:29:51,082 [INFO] Searching page 14: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:51,812 [INFO] Page 14: 25 contacts, 3823 total available
2026-07-09 15:29:51,813 [INFO] Checkpointed: 1 contacts, page 14
2026-07-09 15:29:52,817 [INFO] Searching page 15: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:53,499 [INFO] Page 15: 25 contacts, 3823 total available
2026-07-09 15:29:53,501 [INFO] Checkpointed: 1 contacts, page 15
2026-07-09 15:29:54,505 [INFO] Searching page 16: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:55,084 [INFO] Page 16: 25 contacts, 3823 total available
2026-07-09 15:29:55,085 [INFO] Checkpointed: 1 contacts, page 16
2026-07-09 15:29:56,090 [INFO] Searching page 17: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:56,671 [INFO] Page 17: 25 contacts, 3823 total available
2026-07-09 15:29:56,672 [INFO] Checkpointed: 1 contacts, page 17
2026-07-09 15:29:57,675 [INFO] Searching page 18: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:58,271 [INFO] Page 18: 25 contacts, 3823 total available
2026-07-09 15:29:58,272 [INFO] Checkpointed: 1 contacts, page 18
2026-07-09 15:29:59,277 [INFO] Searching page 19: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:29:59,848 [INFO] Page 19: 25 contacts, 3823 total available
2026-07-09 15:29:59,849 [INFO] Checkpointed: 1 contacts, page 19
2026-07-09 15:30:00,854 [INFO] Searching page 20: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:01,425 [INFO] Page 20: 25 contacts, 3823 total available
2026-07-09 15:30:01,426 [INFO] Checkpointed: 1 contacts, page 20
2026-07-09 15:30:02,430 [INFO] Searching page 21: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:02,881 [INFO] Page 21: 25 contacts, 3823 total available
2026-07-09 15:30:02,882 [INFO] Checkpointed: 1 contacts, page 21
2026-07-09 15:30:03,883 [INFO] Searching page 22: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:04,412 [INFO] Page 22: 25 contacts, 3823 total available
2026-07-09 15:30:04,413 [INFO] Checkpointed: 1 contacts, page 22
2026-07-09 15:30:05,419 [INFO] Searching page 23: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:05,985 [INFO] Page 23: 25 contacts, 3823 total available
2026-07-09 15:30:05,986 [INFO] Checkpointed: 1 contacts, page 23
2026-07-09 15:30:06,991 [INFO] Searching page 24: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:07,534 [INFO] Page 24: 25 contacts, 3823 total available
2026-07-09 15:30:07,535 [INFO] Checkpointed: 1 contacts, page 24
2026-07-09 15:30:08,540 [INFO] Searching page 25: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:09,067 [INFO] Page 25: 25 contacts, 3823 total available
2026-07-09 15:30:09,068 [INFO] Checkpointed: 1 contacts, page 25
2026-07-09 15:30:10,072 [INFO] Searching page 26: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:10,664 [INFO] Page 26: 25 contacts, 3823 total available
2026-07-09 15:30:10,665 [INFO] Checkpointed: 1 contacts, page 26
2026-07-09 15:30:11,670 [INFO] Searching page 27: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:12,237 [INFO] Page 27: 25 contacts, 3823 total available
2026-07-09 15:30:12,238 [INFO] Checkpointed: 1 contacts, page 27
2026-07-09 15:30:13,243 [INFO] Searching page 28: titles=['Influencer Marketing Manager']..., industries=['Supplements']...
2026-07-09 15:30:13,809 [INFO] Page 28: 25 contacts, 3823 total available
